20179	1	34.31	121232	1.07	0.00	54.73
20179	1	44.31	121034	1.06	0.00	54.73
20063	1	34.31	54570	0.93	30.04	54.73
20063	1	44.31	68468	0.92	30.04	54.73
20193	1	44.31	6504	0.81	34.04	54.73
31145	1	24.31	69401	1.41	56.60	54.73
31145	1	34.31	99997	1.37	56.60	54.73
31145	1	44.31	99734	1.37	56.60	54.73
31065	1	24.31	104623	1.47	64.61	54.73
31065	1	34.31	131929	1.38	64.61	54.73
31065	1	44.31	148087	1.40	64.61	54.73
20181	1	44.31	82415	0.60	67.77	54.73
31063	1	24.31	156137	1.74	81.59	54.73
31063	1	34.31	155934	1.74	81.59	54.73
31063	1	44.31	155734	1.74	81.59	54.73
31057	1	24.31	45931	1.84	87.21	54.73
31057	1	34.31	114643	1.29	87.21	54.73
31057	1	44.31	114578	1.29	87.21	54.73
31085	1	24.31	33458	1.71	88.14	54.73
31085	1	34.31	84441	1.17	88.14	54.73
31085	1	44.31	84490	1.17	88.14	54.73
20083	1	44.31	7847	0.65	91.90	54.73
31029	1	24.31	263772	1.81	105.15	54.73
31029	1	34.31	263714	1.82	105.15	54.73
31029	1	44.31	263653	1.82	105.15	54.73
20069	1	44.31	44995	0.83	110.98	54.73
8125	1	34.31	262415	1.63	114.22	54.73
8125	1	44.31	262152	1.63	114.22	54.73
8063	1	44.31	165759	1.02	114.62	54.73
31181	1	24.31	108562	1.84	117.86	54.73
31181	1	34.31	108580	1.85	117.86	54.73
31181	1	44.31	108596	1.85	117.86	54.73
20047	1	34.31	3876	1.23	117.91	54.73
20047	1	44.31	48928	0.81	117.91	54.73
31135	1	24.31	130433	1.47	121.80	54.73
31135	1	34.31	239852	1.25	121.80	54.73
31135	1	44.31	239620	1.26	121.80	54.73
20081	1	24.31	112542	1.43	125.96	54.73
20081	1	34.31	112425	1.43	125.96	54.73
20081	1	44.31	112308	1.43	125.96	54.73
20185	1	34.31	16930	0.98	128.76	54.73
20185	1	44.31	16953	0.98	128.76	54.73
8095	1	34.31	130067	1.45	132.56	54.73
8095	1	44.31	130120	1.45	132.56	54.73
20067	1	44.31	29051	0.66	132.63	54.73
20097	1	34.31	6189	1.27	137.96	54.73
20097	1	44.31	22406	0.91	137.96	54.73
20187	1	34.31	20533	1.28	142.52	54.73
20187	1	44.31	20480	1.28	142.52	54.73
20119	1	24.31	128648	1.73	145.63	54.73
20119	1	34.31	132644	1.71	145.63	54.73
20119	1	44.31	132636	1.71	145.63	54.73
8115	1	44.31	42953	0.91	146.08	54.73
20157	1	24.31	8620	1.61	151.53	54.73
20157	1	34.31	67347	1.16	151.53	54.73
20157	1	44.31	67283	1.16	151.53	54.73
20175	1	24.31	19107	1.34	151.54	54.73
20175	1	34.31	73333	1.26	151.54	54.73
20175	1	44.31	73276	1.26	151.54	54.73
20189	1	24.31	100491	1.46	155.51	54.73
20189	1	34.31	100413	1.46	155.51	54.73
20189	1	44.31	100336	1.46	155.51	54.73
31169	1	44.31	244057	1.87	161.16	54.73
20129	1	44.31	1448	0.67	166.27	54.73
8075	1	34.31	67413	1.29	169.64	54.73
8075	1	44.31	67383	1.29	169.64	54.73
8011	1	34.31	11168	1.69	170.69	54.73
8011	1	44.31	11150	1.69	170.69	54.73
20027	1	44.31	4748	0.83	173.44	54.73
20201	1	44.31	7744	0.65	179.75	54.73
8087	1	34.31	4694	1.20	189.19	54.73
8087	1	44.31	31118	1.00	189.19	54.73
8025	1	34.31	236	1.44	191.07	54.73
8025	1	44.31	586	0.88	191.07	54.73
20061	1	44.31	1771	0.82	196.16	54.73
31183	1	34.31	40237	1.17	205.69	54.73
31183	1	44.31	40267	1.18	205.69	54.73
31011	1	24.31	208674	1.84	205.71	54.73
31011	1	34.31	208413	1.84	205.71	54.73
31011	1	44.31	208152	1.85	205.71	54.73
31067	1	24.31	147232	1.81	208.74	54.73
31067	1	34.31	187691	1.49	208.74	54.73
31067	1	44.31	187949	1.49	208.74	54.73
20117	1	24.31	25803	1.33	209.89	54.73
20117	1	34.31	25911	1.33	209.89	54.73
20117	1	44.31	26011	1.33	209.89	54.73
31109	1	24.31	88334	1.84	222.17	54.73
31109	1	34.31	135016	1.61	222.17	54.73
31109	1	44.31	138602	1.62	222.17	54.73
31133	1	24.31	9526	1.57	228.94	54.73
31133	1	34.31	9571	1.57	228.94	54.73
31133	1	44.31	9614	1.57	228.94	54.73
31097	1	24.31	5993	1.75	232.64	54.73
31097	1	34.31	6015	1.75	232.64	54.73
31097	1	44.31	34839	0.87	232.64	54.73
31037	1	44.31	183942	1.77	234.90	54.73
20131	1	24.31	23032	1.65	237.06	54.73
20131	1	34.31	23110	1.65	237.06	54.73
20131	1	44.31	52602	0.92	237.06	54.73
31155	1	24.31	281417	1.85	239.40	54.73
31155	1	34.31	281128	1.85	239.40	54.73
31155	1	44.31	286153	1.79	239.40	54.73
31161	1	34.31	39840	1.06	241.33	54.73
31161	1	44.31	39779	1.06	241.33	54.73
31013	1	44.31	24208	0.83	242.64	54.73
31157	1	34.31	145545	1.83	244.55	54.73
31157	1	44.31	144945	1.82	244.55	54.73
31131	1	24.31	74514	1.70	245.15	54.73
31131	1	34.31	74514	1.70	245.15	54.73
31131	1	44.31	127591	1.15	245.15	54.73
20085	1	34.31	25632	1.25	246.31	54.73
20085	1	44.31	26456	1.25	246.31	54.73
31167	1	34.31	128601	1.49	247.23	54.73
31167	1	44.31	128642	1.49	247.23	54.73
20177	1	44.31	2137	0.80	249.25	54.73
31139	1	44.31	242570	1.84	251.47	54.73
31025	1	44.31	213313	1.80	252.12	54.73
31053	1	44.31	285594	1.89	253.24	54.73
31127	1	34.31	115388	1.69	253.61	54.73
31127	1	44.31	122800	1.71	253.61	54.73
31147	1	34.31	142611	1.45	255.94	54.73
31147	1	44.31	143736	1.45	255.94	54.73
20013	1	44.31	223887	1.85	260.26	54.73
31015	1	24.31	26146	1.73	260.36	54.73
31015	1	34.31	25965	1.73	260.36	54.73
31015	1	44.31	25780	1.73	260.36	54.73
31039	1	44.31	250834	1.70	262.49	54.73
31107	1	44.31	249817	1.71	264.11	54.73
8013	1	34.31	5564	1.59	267.72	54.73
8013	1	44.31	5556	1.59	267.72	54.73
31027	1	44.31	322569	1.83	281.14	54.73
8069	1	34.31	17163	1.39	282.14	54.73
8069	1	44.31	17165	1.39	282.14	54.73
20043	1	44.31	142600	1.79	282.21	54.73
31083	1	24.31	0	2.19	79.38	54.73
31083	1	34.31	0	2.19	79.38	54.73
31083	1	44.31	0	2.19	79.38	54.73
31073	1	24.31	0	2.37	86.53	54.73
31073	1	34.31	0	2.37	86.53	54.73
31073	1	44.31	0	2.37	86.53	54.73
31061	1	24.31	0	2.40	97.24	54.73
31061	1	34.31	0	2.40	97.24	54.73
31061	1	44.31	0	2.40	97.24	54.73
31137	1	24.31	0	2.82	97.45	54.73
31137	1	34.31	0	2.10	97.45	54.73
31137	1	44.31	0	2.41	97.45	54.73
31047	1	24.31	0	2.60	109.94	54.73
31047	1	34.31	0	2.60	109.94	54.73
31047	1	44.31	0	2.60	109.94	54.73
31099	1	24.31	0	2.71	112.41	54.73
31099	1	34.31	0	2.71	112.41	54.73
31099	1	44.31	0	2.64	112.41	54.73
31019	1	24.31	0	2.55	126.70	54.73
31019	1	34.31	0	2.55	126.70	54.73
31019	1	44.31	0	2.55	126.70	54.73
31001	1	24.31	0	2.64	130.85	54.73
31001	1	34.31	0	2.64	130.85	54.73
31001	1	44.31	0	2.64	130.85	54.73
31129	1	24.31	0	2.10	139.14	54.73
31129	1	34.31	0	2.10	139.14	54.73
31129	1	44.31	0	2.10	139.14	54.73
31101	1	24.31	0	2.04	142.48	54.73
31101	1	34.31	0	2.04	142.48	54.73
31101	1	44.31	0	2.04	142.48	54.73
31041	1	24.31	0	2.38	146.18	54.73
31041	1	34.31	0	2.38	146.18	54.73
31041	1	44.31	0	2.38	146.18	54.73
31079	1	24.31	0	2.64	146.88	54.73
31079	1	34.31	0	2.41	146.88	54.73
31079	1	44.31	0	2.62	146.88	54.73
